[ 2025-06-01 23:05:54,594 ] 16 root - INFO - Initiate the data ingestion
[ 2025-06-01 23:05:58,222 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-01 23:05:58,222 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-01 23:05:58,222 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-01 23:05:58,253 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-01 23:05:58,253 ] 18 root - INFO - Data Initiation Completed
[ 2025-06-01 23:05:58,256 ] 22 root - INFO - Initiate the data Validation
[ 2025-06-01 23:05:58,267 ] 32 root - INFO - Required number of columns:2
[ 2025-06-01 23:05:58,267 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-01 23:05:58,267 ] 32 root - INFO - Required number of columns:2
[ 2025-06-01 23:05:58,267 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-01 23:05:58,353 ] 24 root - INFO - data Validation Completed
[ 2025-06-01 23:05:58,353 ] 27 root - INFO - data transformation started
[ 2025-06-01 23:05:58,353 ] 50 root - INFO - Starting data transformation
[ 2025-06-01 23:05:58,364 ] 39 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2025-06-01 23:05:58,364 ] 42 root - INFO - Initialised knn imputer 
[ 2025-06-01 23:05:58,368 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-01 23:05:58,370 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-01 23:05:58,370 ] 32 root - INFO - data transformation completed
